trip_id,payment_type,fare_amount,trip_distance,passenger_count,pickup_hour
329,Wallet,107.82,28.96,4,6
330,Wallet,451.99,40.98,2,4
331,Cash,89.76,11.07,2,14
332,Cash,758.78,10.91,5,3
333,Wallet,261.85,37.84,1,13
334,UPI,942.25,32.51,4,15
335,Card,512.08,33.98,4,1
336,Wallet,474.01,12.21,5,18
337,Cash,791.51,20.28,5,13
338,UPI,727.5,13.29,5,15
339,Wallet,626.94,3.87,3,5
340,Wallet,938.39,10.6,4,2
341,UPI,451.15,49.76,5,20
342,Wallet,818.11,12.09,3,19
343,UPI,411.09,8.39,1,12
344,Card,846.43,35.0,5,1
345,UPI,296.5,30.31,4,5
346,UPI,324.8,37.43,4,17
347,UPI,693.98,32.86,1,20
348,Wallet,252.08,11.54,5,12
349,Wallet,267.7,25.29,4,1
350,UPI,340.0,9.24,2,3
351,Wallet,694.98,13.05,4,18
352,Cash,894.92,49.35,3,15
353,Cash,690.84,36.57,2,13
354,Wallet,836.42,39.25,2,9
355,Wallet,566.38,1.99,1,2
356,UPI,115.48,19.42,1,6
357,Card,145.44,27.98,2,6
358,Wallet,576.67,7.91,3,2
359,Cash,361.41,42.5,5,5
360,UPI,259.54,7.41,2,18
361,Wallet,492.94,32.01,1,14
362,Cash,683.17,27.88,5,5
363,Cash,415.74,42.54,2,5
364,Card,812.42,15.93,5,20
365,UPI,751.6,14.56,4,22
366,UPI,748.17,42.4,1,22
367,Card,985.93,11.46,3,8
368,Card,330.47,37.43,4,13
369,UPI,662.49,9.96,5,18
370,UPI,862.7,43.85,4,2
371,Wallet,600.55,42.03,2,14
372,Wallet,800.03,39.48,2,23
373,Card,443.73,24.83,2,18
374,Wallet,610.97,2.18,4,11
375,Cash,102.88,7.06,1,11
376,Wallet,986.48,23.1,3,20
377,Wallet,810.02,2.66,5,21
378,Cash,875.37,3.64,1,1
379,Card,709.58,6.71,5,16
380,Cash,226.75,13.41,4,19
381,Wallet,79.48,37.59,1,20
382,Card,871.42,2.88,3,0
383,Wallet,426.51,49.19,2,5
384,Cash,300.67,14.05,3,16
385,Cash,583.59,16.35,3,0
386,Wallet,449.85,12.77,3,20
387,UPI,669.08,30.32,2,8
388,UPI,509.6,1.46,3,7
389,Cash,712.37,5.13,4,14
390,Cash,860.75,5.39,3,22
391,UPI,235.78,33.39,3,16
392,UPI,362.96,16.81,4,22
393,Wallet,464.97,22.16,1,22
394,Wallet,963.96,47.52,4,18
395,UPI,397.07,10.4,5,2
396,Wallet,412.04,3.97,2,17
397,Wallet,670.8,22.35,4,9
398,Card,448.24,8.62,2,19
399,Wallet,953.66,7.66,4,5
400,Cash,899.75,20.8,3,2
401,Wallet,537.74,33.65,3,10
402,Wallet,662.54,12.52,5,13
403,UPI,105.13,43.86,1,13
404,Cash,710.94,18.44,4,8
405,Wallet,721.84,46.74,5,5
406,Wallet,391.24,24.87,4,7
407,Card,258.7,36.47,2,1
408,Wallet,919.32,42.53,5,2
409,Wallet,455.37,26.72,1,4
410,Card,671.02,42.59,4,3
411,UPI,81.66,19.21,2,0
412,Wallet,443.36,18.49,2,16
413,Card,826.4,39.81,5,9
414,Cash,418.2,12.44,3,18
415,UPI,623.0,35.99,5,0
416,Cash,249.36,4.32,5,11
417,Cash,445.7,31.96,2,21
418,Card,931.26,47.12,1,8
419,Wallet,588.13,23.1,5,9
420,Card,906.83,21.09,3,16
421,Card,906.92,27.26,2,16
422,Card,946.94,36.12,3,13
423,Card,900.62,18.26,2,17
424,UPI,53.12,0.51,2,3
425,Wallet,937.31,25.35,5,23
426,Cash,180.59,21.25,2,6
427,Cash,87.93,26.87,1,3
428,Wallet,102.62,35.91,3,19
429,Cash,381.47,14.53,4,22
430,Wallet,639.76,25.51,2,0
431,Cash,432.2,13.04,5,9
432,Card,74.28,23.24,4,16
433,Cash,502.66,17.55,1,8
434,Wallet,470.02,18.77,3,6
435,Wallet,769.01,29.18,1,18
436,Wallet,315.63,34.64,5,21
437,Wallet,256.65,1.13,4,3
438,Wallet,293.14,43.89,1,2
439,UPI,338.55,18.53,2,22
440,UPI,619.21,32.36,4,7
441,Cash,497.95,6.56,3,12
442,Wallet,370.05,28.79,5,5
443,Cash,405.6,34.08,5,22
444,Wallet,402.38,8.29,3,14
445,Wallet,973.79,45.65,5,18
446,UPI,271.35,37.99,5,15
447,UPI,827.16,26.93,3,22
448,Card,722.8,8.72,5,17
449,UPI,55.29,43.34,3,20
450,Card,993.52,3.9,5,18
451,Card,768.62,6.2,1,15
452,Card,698.33,35.06,1,15
453,Card,435.06,13.07,1,16
454,Card,577.44,23.24,4,11
455,Cash,290.61,27.18,3,13
456,UPI,83.71,23.18,1,6
457,Card,844.22,4.65,5,17
458,Wallet,901.66,37.0,3,7
459,UPI,204.35,12.38,3,6
460,UPI,797.7,37.06,5,7
461,Card,754.1,43.33,2,22
462,Cash,219.46,27.05,3,7
463,Card,450.74,35.47,4,11
464,Cash,451.62,2.33,4,15
465,Wallet,771.97,2.32,2,15
466,UPI,845.78,10.26,1,21
467,Wallet,140.04,18.24,1,16
468,Cash,584.82,9.55,3,14
469,Cash,773.66,31.93,5,15
470,Wallet,796.88,14.21,3,18
471,Cash,190.59,42.36,2,12
472,Wallet,549.23,28.25,1,9
473,UPI,864.68,19.21,4,5
474,Wallet,352.59,44.71,3,7
475,UPI,453.86,41.5,2,16
476,Wallet,814.14,41.09,3,19
477,Cash,134.85,36.55,1,22
478,Wallet,866.52,30.9,5,16
479,Cash,345.6,18.66,4,21
480,Wallet,51.38,21.42,2,19
481,Wallet,272.45,32.53,1,7
482,Card,135.03,9.06,4,1
483,Cash,137.77,41.48,1,10
484,Card,708.19,46.96,1,9
485,Cash,253.28,5.35,3,20
486,Card,938.01,1.61,4,16
487,UPI,540.62,7.56,5,7
488,Wallet,487.09,38.12,1,16
489,Cash,462.57,5.84,5,17
490,Cash,707.96,18.93,5,13
491,Wallet,479.65,3.62,1,0
492,Cash,172.17,21.91,3,21
493,Cash,886.16,30.39,2,3
494,Card,456.98,31.61,2,9
495,Cash,120.3,26.19,1,2
496,UPI,552.9,46.94,3,12
497,UPI,664.98,26.79,2,15
498,Wallet,311.8,43.03,1,6
499,Cash,810.32,49.65,4,8
500,Wallet,686.29,11.87,1,6
501,UPI,667.82,13.64,1,22
502,Cash,449.78,26.33,5,14
503,Cash,963.82,9.53,5,8
504,Wallet,310.48,28.42,3,2
505,UPI,598.82,34.38,2,4
506,Cash,343.6,3.49,3,20
507,Wallet,757.56,34.23,5,1
508,UPI,95.4,8.39,1,15
509,Wallet,93.6,15.32,5,13
510,Card,820.32,37.07,1,6
511,Cash,462.55,8.6,3,3
512,Card,374.12,26.82,3,7
513,UPI,627.15,29.66,3,11
514,Card,716.8,8.64,3,13
515,Card,241.14,14.1,3,11
516,UPI,226.16,30.52,1,20
517,Wallet,960.24,23.33,1,10
518,Card,610.18,33.17,3,1
519,Wallet,420.61,42.81,3,18
520,Card,811.37,7.18,1,17
521,Wallet,548.9,4.0,1,5
522,UPI,279.58,33.5,3,11
523,Card,246.4,38.65,2,2
524,UPI,427.02,22.74,4,13
525,Card,866.9,20.0,2,6
526,UPI,108.38,30.04,2,18
527,UPI,257.6,27.8,5,4
528,Card,898.49,24.76,4,6
529,Card,165.65,41.03,3,15
530,Card,648.14,9.09,3,14
531,Cash,252.84,34.22,2,8
532,Wallet,625.57,37.2,5,6
533,Cash,413.95,45.11,2,17
534,Cash,146.59,47.28,1,22
535,UPI,603.35,25.64,2,0
536,Card,698.89,21.97,2,19
537,Wallet,696.26,25.44,1,10
538,UPI,655.18,36.76,1,5
539,Cash,525.21,1.35,2,9
540,Card,543.5,9.12,5,2
541,UPI,653.86,45.43,1,9
542,Card,705.75,10.17,4,16
543,UPI,672.13,11.81,1,11
544,Card,607.6,47.0,3,16
545,Cash,198.05,15.07,1,10
546,Wallet,250.09,14.88,1,3
547,Cash,297.21,46.22,4,1
548,Wallet,923.68,19.07,5,3
549,Card,771.43,24.95,2,16
550,UPI,575.22,28.24,4,3
551,Cash,289.45,43.48,4,1
552,Wallet,155.35,4.34,4,5
553,Cash,903.82,13.41,5,17
554,Wallet,898.03,29.56,2,14
555,Cash,155.16,22.01,1,3
556,Wallet,807.36,14.27,3,2
557,Wallet,474.31,20.78,4,19
558,Card,357.77,48.33,2,20
559,Wallet,752.15,1.54,5,13
560,Card,633.61,7.78,5,4
561,Wallet,791.03,1.42,2,6
562,UPI,120.61,29.87,4,20
563,UPI,352.66,1.14,3,0
564,UPI,353.35,22.97,5,21
565,Wallet,363.27,43.03,1,13
566,Card,527.36,5.31,5,7
567,Card,318.86,18.58,3,3
568,Wallet,472.16,19.21,2,17
569,UPI,399.39,18.43,2,3
570,UPI,748.53,36.51,4,5
571,Card,623.33,0.72,5,14
572,UPI,670.95,39.11,1,23
573,Cash,250.05,42.03,4,22
574,Card,359.23,21.86,2,1
575,UPI,70.11,44.41,3,10
576,Card,152.96,19.36,3,19
577,Cash,301.8,34.89,1,11
578,Card,112.19,19.75,4,23
579,Card,622.5,2.37,1,7
580,Card,998.22,4.63,1,8
581,Card,145.77,22.38,5,13
582,Cash,830.17,49.51,3,5
583,Wallet,162.88,9.29,5,2
584,Card,686.42,44.83,1,5
585,Card,661.0,46.01,5,3
586,UPI,907.58,20.78,1,13
587,Card,158.25,23.36,1,8
588,UPI,349.67,25.39,4,3
589,Wallet,136.24,38.64,4,17
590,Cash,437.01,6.62,1,2
591,Cash,916.01,16.77,3,10
592,Wallet,792.45,8.95,3,15
593,Cash,736.76,43.98,5,21
594,Wallet,556.38,3.99,2,20
595,Wallet,889.31,37.51,3,22
596,Wallet,476.97,22.27,5,2
597,Cash,192.2,35.87,4,9
598,UPI,845.71,44.55,1,4
599,Wallet,315.66,17.31,2,8
600,Card,100.95,11.74,4,18
601,Cash,169.74,32.69,1,14
602,Wallet,628.61,49.88,2,1
603,Wallet,626.73,36.61,3,3
604,Card,297.17,39.88,4,13
605,UPI,740.82,31.68,1,4
606,UPI,784.96,18.73,4,23
607,UPI,924.48,32.9,2,22
608,Wallet,605.69,6.86,4,17
609,Wallet,790.45,24.7,2,11
610,Wallet,765.44,28.87,4,1
611,Cash,294.92,45.38,2,21
612,Card,344.71,46.03,4,18
613,Wallet,504.56,3.48,4,23
614,Card,68.09,31.78,4,11
615,Card,332.53,39.92,2,23
616,UPI,500.19,27.05,2,22
617,Cash,152.67,5.24,2,2
618,Wallet,169.96,12.02,1,22
619,UPI,490.07,16.03,4,9
620,UPI,744.42,33.31,2,10
621,Wallet,842.06,3.75,3,11
622,Card,569.0,27.71,3,2
623,UPI,501.01,5.89,1,12
624,Card,415.07,20.06,4,4
625,Cash,233.3,21.57,4,10
626,Card,189.23,22.87,5,3
627,Cash,802.3,35.69,3,7
628,Card,491.76,4.52,3,9
629,UPI,800.8,13.78,4,10
630,UPI,718.88,32.24,2,17
631,Cash,234.2,47.21,5,12
632,Wallet,534.79,31.23,2,4
633,Cash,471.82,44.23,2,20
634,Cash,452.68,48.44,4,0
635,Card,565.44,44.25,1,15
636,Card,982.98,48.62,4,13
637,Cash,822.26,38.96,2,19
638,UPI,908.53,44.41,4,16
639,Card,78.16,24.83,4,4
640,Wallet,183.32,17.6,1,15
641,Card,130.53,49.99,5,20
642,Card,300.07,5.34,5,0
643,Wallet,469.8,47.93,2,7
644,Cash,659.95,21.83,5,10
645,Wallet,525.79,1.61,2,1
646,Cash,908.02,40.25,3,5
647,Cash,942.86,22.49,1,0
648,Cash,205.34,40.03,5,16
649,Wallet,860.27,2.72,2,15
650,Cash,507.64,48.72,1,10
651,UPI,480.66,33.72,2,20
652,Wallet,795.69,2.88,1,2
653,UPI,138.48,0.73,4,11
654,Cash,888.37,29.9,3,1
655,Card,687.32,48.84,3,6
656,Cash,881.5,26.44,5,22
657,UPI,994.75,18.02,1,3
658,UPI,542.1,46.98,1,2
659,Wallet,138.6,49.21,2,4
660,Card,208.2,39.33,4,8
661,Wallet,357.44,36.04,5,22
662,UPI,148.38,0.6,2,14
663,Cash,824.57,16.03,2,21
664,Card,332.02,46.3,4,6
665,Cash,977.09,18.72,5,16
666,Cash,717.46,17.06,4,11
667,Card,214.76,27.09,4,11
668,Wallet,502.24,22.67,2,4
669,Cash,493.54,43.01,4,12
670,UPI,517.89,4.54,2,4
671,Cash,558.91,33.11,2,22
672,Card,79.61,35.01,4,21
673,Card,701.99,44.07,3,22
674,Card,512.83,21.08,1,19
675,Wallet,801.42,15.1,4,8
676,Cash,824.58,31.51,1,9
677,Wallet,269.01,36.38,2,11
678,Wallet,96.0,8.96,1,22
679,Card,718.07,8.33,3,5
680,Card,978.87,13.55,3,14
681,Wallet,474.33,12.77,1,4
682,Cash,296.63,37.66,2,17
683,UPI,198.84,26.77,5,22
684,Wallet,323.07,27.62,1,4
685,Cash,361.52,1.23,4,18
686,Card,452.68,49.72,3,5
687,Card,672.64,41.57,4,14
688,Cash,309.5,22.46,2,8
689,UPI,98.43,3.81,5,6
690,Card,404.61,34.87,2,6
691,Card,862.85,26.98,5,13
692,Card,523.43,34.04,3,16
693,Cash,966.54,34.04,4,15
694,Wallet,528.44,8.16,3,22
695,Card,312.1,16.78,2,3
696,Wallet,233.65,1.38,1,7
697,UPI,709.8,49.12,5,18
698,Card,559.56,40.42,1,1
699,Card,623.8,46.48,3,6
700,UPI,767.37,2.68,5,21
701,Card,739.61,25.27,2,19
702,Wallet,91.2,37.5,2,18
703,Cash,812.44,5.63,4,23
704,Wallet,556.07,38.97,2,23
705,Cash,422.12,32.55,3,23
706,Cash,560.64,49.26,4,22
707,Wallet,631.83,7.47,4,20
708,Wallet,192.03,31.65,3,12
709,Wallet,446.54,47.38,3,4
710,Wallet,368.81,37.31,2,17
711,UPI,382.89,17.14,2,8
712,Card,136.77,6.4,5,5
713,Cash,201.85,48.21,4,6
714,Wallet,203.74,4.06,2,20
715,Wallet,404.56,48.77,4,6
716,Wallet,899.77,15.52,4,11
717,UPI,245.73,43.09,1,17
718,Wallet,445.38,27.94,5,5
719,Wallet,346.03,45.67,1,2
720,Wallet,798.01,21.62,5,15
721,Card,97.62,42.57,1,15
722,UPI,236.72,12.3,1,0
723,Wallet,250.11,23.6,4,15
724,Cash,993.31,42.39,4,14
725,Cash,592.24,6.36,1,17
726,Cash,182.01,36.57,3,12
727,UPI,308.59,22.13,1,3
728,UPI,209.43,25.9,5,0
729,Cash,168.37,29.16,3,15
730,Wallet,807.32,14.15,3,17
731,UPI,520.96,5.27,1,18
732,Cash,649.65,1.42,5,5
733,Cash,364.69,21.83,5,16
734,Wallet,576.01,13.81,2,8
735,Card,294.69,31.83,1,22
736,UPI,342.63,35.94,2,12
737,Wallet,669.63,25.44,5,3
738,Cash,192.83,31.14,1,17
739,Cash,636.36,28.26,4,0
740,Wallet,859.62,0.73,4,8
741,UPI,164.4,42.16,2,0
742,Card,902.59,3.45,1,21
743,Card,125.47,20.81,3,11
744,Cash,381.46,6.0,4,16
745,UPI,629.98,33.28,1,19
746,Card,581.44,16.62,4,10
747,UPI,141.57,4.02,1,19
748,UPI,808.97,2.74,1,22
749,Cash,974.5,12.24,2,23
750,Card,222.17,33.53,5,0
751,Wallet,900.37,36.05,5,9
752,Cash,578.97,6.86,1,9
753,Card,939.14,7.39,1,8
754,Card,217.28,29.86,4,22
755,Card,802.42,47.88,1,16
756,Card,106.79,27.87,1,13
757,Card,889.04,35.73,5,6
758,UPI,690.45,28.98,4,18
759,Cash,401.74,5.69,3,23
760,UPI,230.94,47.35,4,22
761,Wallet,825.71,4.06,5,0
762,Card,623.08,38.11,2,8
763,Cash,392.4,48.98,1,15
764,Card,471.64,16.29,4,17
765,Cash,835.22,9.0,4,10
766,UPI,371.98,28.53,4,16
767,Cash,135.15,39.86,4,19
768,Wallet,915.72,47.5,1,14
769,Wallet,417.98,34.84,1,1
770,Cash,380.97,17.13,1,20
771,Cash,244.18,24.97,5,11
772,Cash,902.55,38.18,1,17
